Season,Name,Invention_1,Mystery_1,Immunity_1,Elimination_1,Invention_2,Mystery_2,Immunity_2,Elimination_2,Invention_3,Mystery_3,Immunity_3,Elimination_3,Invention_4,Mystery_4,Immunity_4,Elimination_4,Invention_5,Mystery_5,Immunity_5,Elimination_5,Invention_6,Mystery_6,Immunity_6,Elimination_6,Invention_7,Mystery_7,Immunity_7,Elimination_7,Invention_8,Mystery_8,Immunity_8,Elimination_8,Invention_9,Mystery_9,Immunity_9,Elimination_9,Invention_10,Mystery_10,Immunity_10,Elimination_10,Invention_11,Mystery_11,Immunity_11,Elimination_11,Invention_12,Mystery_12,Immunity_12,Elimination_12,Invention_13,Mystery_13,Immunity_13,Elimination_13,Invention_14,Mystery_14,Immunity_14,Elimination_14,Invention_15,Mystery_15,Immunity_15,Elimination_15,Invention_16,Mystery_16,Immunity_16,Elimination_16,Invention_17,Mystery_17,Immunity_17,Elimination_17,Label
4,TK,None,IN,None,Team Lose,Btm,IN,None,Team Lose,IN,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Kath,None,IN,None,Team Win,IN,IN,None,Team Win,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Matt,None,IN,None,Team Lose,IN,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Lydia,None,IN,None,Team Win,Btm,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Kevin,None,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
5,Emma,Win,Win,None,None,IN,None,None,None,Win,None,Win,Team Win,Team 2nd,None,None,Team Lose,Team Lose,None,None,Team Win,IN,IN,None,Team Win,Btm,None,None,Team Win,IN,None,None,None,IN,None,None,Team Win,IN,None,None,Team Win,Team Win,None,None,Immune,Win,None,None,Team Win,IN,Win,None,IN,None,None,None,Win,None,None,None,None,None,None,None,None,None,None,None,None,Winner
5,Lynton,IN,IN,None,None,IN,None,None,None,Win,None,Lose,Team Win,Team 2nd,None,None,Team Win,Team Win,None,None,Team Lose,IN,IN,None,Team Win,IN,None,None,Team Win,Btm,None,None,None,IN,None,None,Team Lose,IN,None,None,Team Win,Btm,None,None,Team Win,Btm,None,None,Team Win,IN,IN,None,IN,None,None,None,Lose,None,None,None,None,None,None,None,None,None,None,None,None,Runner-Up
5,Samira,Btm,IN,None,None,IN,None,None,None,IN,None,None,Team Lose,Team 3rd,None,None,Team Win,Team Lose,None,None,Team Win,IN,Win,None,Team Lose,Btm,None,None,Btm,Elim,Elim,Elim,Elim,IN,None,None,Team Win,IN,None,None,Team Lose,Team Lose,None,None,Team Lose,Lose,None,None,Team Lose,Win,IN,None,Btm,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,None,None,None,None,Top 5
5,Rishi,IN,IN,None,None,IN,None,None,None,Win,None,Lose,Team Lose,Team Win,None,None,Team Lose,Team Lose,None,None,Btm,IN,IN,None,Team Win,Btm,None,None,Team Lose,Win,None,Win,None,Immune,None,None,Team Win,IN,None,Lose,Team Lose,Team Lose,None,None,Team Win,Lose,None,None,Team Lose,Btm,IN,None,Btm,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,None,None,None,None,Top 5
5,Christina,IN,IN,None,None,Win,None,None,None,Win,None,None,Btm,Team 3rd,None,None,Team Lose,Team Win,None,None,Btm,IN,IN,None,Team Win,IN,None,None,Team Lose,IN,None,None,None,IN,None,None,Btm,IN,None,Lose,Team Win,Btm,None,None,Team Win,Lose,None,None,Team Win,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,None,None,None,None,Top 5
